"","age","sex","education","has_religion","religion_importance","income_family","employment","born_canada","province","n"
"282",25,"Female","High school","No","Not important at all","$25,000 to $49,999","employement","born in Canada","Alberta",1
"283",25,"Female","High school","No","Not important at all","$50,000 to $74,999","employement","born in Canada","British Columbia",2
"284",25,"Female","High school","No","Not important at all","$50,000 to $74,999","employement","born in Canada","Ontario",2
"285",25,"Female","High school","No","Not very important","$100,000 to $ 124,999","employement","born in Canada","Saskatchewan",1
"286",25,"Female","High school","No","Not very important","Less than $25,000","employement","born in Canada","British Columbia",1
"287",25,"Female","High school","Yes","Not important at all","$50,000 to $74,999","employement","born in Canada","Quebec",1
"288",25,"Female","High school","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","New Brunswick",1
"289",25,"Female","High school","Yes","Somewhat important","Less than $25,000","employement","born outside canada","British Columbia",1
"290",25,"Female","Less than high school","No","Not important at all","$75,000 to $99,999","employement","born in Canada","Nova Scotia",1
"291",25,"Female","Less than high school","Yes","Not important at all","Less than $25,000","employement","born in Canada","Nova Scotia",1
"292",25,"Female","Less than high school","Yes","Not very important","Less than $25,000","employement","born outside canada","Manitoba",1
"293",25,"Female","Less than high school","Yes","Very important","$25,000 to $49,999","employement","born outside canada","Manitoba",1
"294",25,"Female","Trade diploma","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Quebec",1
"295",25,"Female","University","Yes","Very important","$25,000 to $49,999","employement","born outside canada","Quebec",1
"296",25,"Male","Above bachelor","Yes","Not important at all","$50,000 to $74,999","employement","born in Canada","Quebec",1
"297",25,"Male","Above bachelor","Yes","Not very important","$125,000 and more","employement","born in Canada","Ontario",1
"298",25,"Male","Bachelor degree","No","Not important at all","$25,000 to $49,999","employement","born in Canada","Ontario",1
"299",25,"Male","Bachelor degree","Yes","Not important at all","$25,000 to $49,999","employement","born in Canada","Quebec",1
"300",25,"Male","Bachelor degree","Yes","Not important at all","Less than $25,000","unemployement","born outside canada","British Columbia",1
"301",25,"Male","Bachelor degree","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Alberta",1
"302",25,"Male","Bachelor degree","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Manitoba",1
"303",25,"Male","Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Alberta",1
"304",25,"Male","Bachelor degree","Yes","Somewhat important","$75,000 to $99,999","unemployement","born outside canada","Quebec",1
"305",25,"Male","Bachelor degree","Yes","Somewhat important","Less than $25,000","employement","born in Canada","Alberta",1
"306",25,"Male","Bachelor degree","Yes","Very important","$125,000 and more","employement","born outside canada","Ontario",1
"307",25,"Male","College","No","Not very important","$25,000 to $49,999","employement","born in Canada","Quebec",1
"308",25,"Male","College","No","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","Quebec",1
"309",25,"Male","College","No","Very important","Less than $25,000","unemployement","born outside canada","Ontario",1
"310",25,"Male","College","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","New Brunswick",1
"311",25,"Male","College","Yes","Not very important","$75,000 to $99,999","unemployement","born outside canada","Ontario",1
"312",25,"Male","College","Yes","Not very important","Less than $25,000","employement","born in Canada","Ontario",1
"313",25,"Male","College","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","New Brunswick",1
"314",25,"Male","College","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Ontario",2
"315",25,"Male","High school","No","Not important at all","$100,000 to $ 124,999","employement","born in Canada","Nova Scotia",1
"316",25,"Male","High school","No","Not important at all","$100,000 to $ 124,999","employement","born outside canada","Manitoba",1
"317",25,"Male","High school","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","Nova Scotia",1
"318",25,"Male","High school","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","Quebec",1
"319",25,"Male","High school","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Nova Scotia",1
"320",25,"Male","High school","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Alberta",1
"321",25,"Male","Trade diploma","No","Not important at all","$50,000 to $74,999","employement","born in Canada","Alberta",1
"322",25,"Male","Trade diploma","No","Not important at all","Less than $25,000","unemployement","born in Canada","British Columbia",1
"323",25,"Male","Trade diploma","Yes","Not important at all","$25,000 to $49,999","employement","born in Canada","Quebec",1
"324",25,"Male","Trade diploma","Yes","Not very important","$75,000 to $99,999","unemployement","born in Canada","Ontario",1
"325",25,"Male","Trade diploma","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Manitoba",1
"326",26,"Female","Above bachelor","No","Not important at all","$50,000 to $74,999","employement","born outside canada","Quebec",1
"327",26,"Female","Above bachelor","No","Not important at all","Less than $25,000","employement","born outside canada","New Brunswick",1
"328",26,"Female","Above bachelor","No","Not very important","$50,000 to $74,999","employement","born in Canada","Ontario",1
"329",26,"Female","Above bachelor","Yes","Not important at all","$50,000 to $74,999","employement","born in Canada","Quebec",1
"330",26,"Female","Above bachelor","Yes","Not important at all","$75,000 to $99,999","employement","born in Canada","New Brunswick",1
"331",26,"Female","Above bachelor","Yes","Not very important","$25,000 to $49,999","unemployement","born in Canada","Quebec",1
"332",26,"Female","Above bachelor","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Quebec",2
"333",26,"Female","Above bachelor","Yes","Not very important","Less than $25,000","employement","born in Canada","Ontario",1
"334",26,"Female","Bachelor degree","No","Not important at all","$125,000 and more","employement","born in Canada","Quebec",1
"335",26,"Female","Bachelor degree","No","Not important at all","$125,000 and more","employement","born in Canada","Saskatchewan",1
"336",26,"Female","Bachelor degree","No","Not important at all","$50,000 to $74,999","employement","born in Canada","Ontario",1
"337",26,"Female","Bachelor degree","No","Not important at all","$50,000 to $74,999","unemployement","born in Canada","Ontario",1
"338",26,"Female","Bachelor degree","No","Not important at all","$75,000 to $99,999","employement","born in Canada","British Columbia",1
"339",26,"Female","Bachelor degree","No","Not important at all","$75,000 to $99,999","employement","born in Canada","Ontario",1
"340",26,"Female","Bachelor degree","No","Not important at all","Less than $25,000","unemployement","born in Canada","Ontario",1
"341",26,"Female","Bachelor degree","No","Not very important","$75,000 to $99,999","employement","born in Canada","British Columbia",1
"342",26,"Female","Bachelor degree","No","Somewhat important","$50,000 to $74,999","employement","born outside canada","Ontario",1
"343",26,"Female","Bachelor degree","No","Somewhat important","$50,000 to $74,999","employement","born outside canada","Quebec",1
"344",26,"Female","Bachelor degree","No","Very important","$125,000 and more","employement","born in Canada","Quebec",1
"345",26,"Female","Bachelor degree","Yes","Not important at all","$50,000 to $74,999","employement","born in Canada","Quebec",1
"346",26,"Female","Bachelor degree","Yes","Not very important","$125,000 and more","employement","born outside canada","British Columbia",1
"347",26,"Female","Bachelor degree","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Quebec",1
"348",26,"Female","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"349",26,"Female","Bachelor degree","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Alberta",1
"350",26,"Female","Bachelor degree","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","British Columbia",1
"351",26,"Female","Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","New Brunswick",1
"352",26,"Female","Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","British Columbia",1
"353",26,"Female","Bachelor degree","Yes","Somewhat important","$75,000 to $99,999","employement","born outside canada","Quebec",1
